                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96651,                0.87674,                      1,                0.92545,             0.00023635,             0.00023635,             0.00023635
                      2,                0.33963,                 0.9184,                      1,                0.84122,             0.00042739,             0.00042739,             0.00042739
                      3,                0.27147,                0.93924,                      1,                0.83133,              0.0005713,              0.0005713,              0.0005713
                      4,                0.20791,                 0.9375,                      1,                0.81551,             0.00050194,             0.00050194,             0.00050194
                      5,                0.19332,                0.93056,                      1,                0.82324,             0.00050194,             0.00050194,             0.00050194
                      6,                0.16265,                0.95139,                      1,                0.80207,             0.00043126,             0.00043126,             0.00043126
                      7,                0.11946,                0.94271,                      1,                0.80569,             0.00036057,             0.00036057,             0.00036057
                      8,                0.12242,                0.94965,                      1,                0.80133,             0.00028988,             0.00028988,             0.00028988
                      9,                0.10133,                0.94444,                      1,                0.80342,              0.0002192,              0.0002192,              0.0002192
                     10,                0.09663,                0.94618,                      1,                0.80528,             0.00014851,             0.00014851,             0.00014851
